Longitude	Latitude	Mean_HF	Median_HF	Total_Erro
-179	-89	100	100	41.5
-177	-89	100	100	41.5
-175	-89	100	100	41.5
-173	-89	100	100	41.5
-171	-89	100	100	41.5
-169	-89	100	100	41.5
-167	-89	100	100	41.5
-165	-89	100	100	41.5
-163	-89	100	100	41.5
-161	-89	100	100	41.5
-159	-89	100	100	41.5
-157	-89	100	100	41.5
-155	-89	100	100	41.5
-153	-89	100	100	41.5
-151	-89	100	100	41.5
-149	-89	100	100	41.5
-147	-89	100	100	41.5
-145	-89	100	100	41.5
-143	-89	100	100	41.5
-141	-89	100	100	41.5
-139	-89	100	100	41.5
-137	-89	100	100	41.5
-135	-89	100	100	41.5
-133	-89	100	100	41.5
-131	-89	100	100	41.5
-129	-89	100	100	41.5
-127	-89	100	100	41.5
-125	-89	100	100	41.5
-123	-89	100	100	41.5
-121	-89	100	100	41.5
-119	-89	100	100	41.5
-117	-89	100	100	41.5
-115	-89	100	100	41.5
-113	-89	100	100	41.5
-111	-89	100	100	41.5
-109	-89	100	100	41.5
-107	-89	100	100	41.5
-105	-89	100	100	41.5
-103	-89	100	100	41.5
-101	-89	100	100	41.5
-99	-89	100	100	41.5
-97	-89	100	100	41.5
-95	-89	100	100	41.5
-93	-89	100	100	41.5
-91	-89	100	100	41.5
-89	-89	100	100	41.5
-87	-89	100	100	41.5
-85	-89	100	100	41.5
-83	-89	100	100	41.5
-81	-89	100	100	41.5
-79	-89	100	100	41.5
-77	-89	100	100	41.5
-75	-89	100	100	41.5
-73	-89	100	100	41.5
-71	-89	100	100	41.5
-69	-89	100	100	41.5
-67	-89	100	100	41.5
-65	-89	100	100	41.5
-63	-89	100	100	41.5
-61	-89	100	100	41.5
-59	-89	65	65	41.5
-57	-89	65	65	41.5
-55	-89	65	65	41.5
-53	-89	65	65	41.5
-51	-89	65	65	41.5
-49	-89	65	65	41.5
-47	-89	65	65	41.5
-45	-89	65	65	41.5
-43	-89	65	65	41.5
-41	-89	65	65	41.5
-39	-89	65	65	41.5
-37	-89	65	65	41.5
-35	-89	65	65	41.5
-33	-89	65	65	41.5
-31	-89	65	65	41.5
-29	-89	65	65	41.5
-27	-89	65	65	41.5
-25	-89	65	65	41.5
-23	-89	65	65	41.5
-21	-89	65	65	41.5
-19	-89	65	65	41.5
-17	-89	65	65	41.5
-15	-89	65	65	41.5
-13	-89	65	65	41.5
-11	-89	65	65	41.5
-9	-89	65	65	41.5
-7	-89	65	65	41.5
-5	-89	65	65	41.5
-3	-89	65	65	41.5
-1	-89	65	65	41.5
1	-89	65	65	41.5
3	-89	65	65	41.5
5	-89	65	65	41.5
7	-89	65	65	41.5
9	-89	65	65	41.5
11	-89	65	65	41.5
13	-89	65	65	41.5
15	-89	65	65	41.5
17	-89	65	65	41.5
19	-89	65	65	41.5
21	-89	65	65	41.5
23	-89	65	65	41.5
25	-89	65	65	41.5
27	-89	65	65	41.5
29	-89	65	65	41.5
31	-89	65	65	41.5
33	-89	65	65	41.5
35	-89	65	65	41.5
37	-89	65	65	41.5
39	-89	65	65	41.5
41	-89	65	65	41.5
43	-89	65	65	41.5
45	-89	65	65	41.5
47	-89	65	65	41.5
49	-89	65	65	41.5
51	-89	65	65	41.5
53	-89	65	65	41.5
55	-89	65	65	41.5
57	-89	65	65	41.5
59	-89	65	65	41.5
61	-89	65	65	41.5
63	-89	65	65	41.5
65	-89	65	65	41.5
67	-89	65	65	41.5
69	-89	65	65	41.5
71	-89	65	65	41.5
73	-89	65	65	41.5
75	-89	65	65	41.5
77	-89	65	65	41.5
79	-89	65	65	41.5
81	-89	65	65	41.5
83	-89	65	65	41.5
85	-89	65	65	41.5
87	-89	65	65	41.5
89	-89	65	65	41.5
91	-89	65	65	41.5
93	-89	65	65	41.5
95	-89	65	65	41.5
97	-89	65	65	41.5
99	-89	65	65	41.5
101	-89	65	65	41.5
103	-89	65	65	41.5
105	-89	65	65	41.5
107	-89	65	65	41.5
109	-89	65	65	41.5
111	-89	65	65	41.5
113	-89	65	65	41.5
115	-89	65	65	41.5
117	-89	65	65	41.5
119	-89	65	65	41.5
121	-89	65	65	41.5
123	-89	65	65	41.5
125	-89	65	65	41.5
127	-89	65	65	41.5
129	-89	65	65	41.5
131	-89	65	65	41.5
133	-89	65	65	41.5
135	-89	65	65	41.5
137	-89	65	65	41.5
139	-89	65	65	41.5
141	-89	65	65	41.5
143	-89	65	65	41.5
145	-89	65	65	41.5
147	-89	65	65	41.5
149	-89	65	65	41.5
151	-89	65	65	41.5
153	-89	65	65	41.5
155	-89	65	65	41.5
157	-89	65	65	41.5
159	-89	65	65	41.5
161	-89	65	65	41.5
163	-89	65	65	41.5
165	-89	65	65	41.5
167	-89	65	65	41.5
169	-89	65	65	41.5
171	-89	65	65	41.5
173	-89	65	65	41.5
175	-89	65	65	41.5
177	-89	65	65	41.5
179	-89	65	65	41.5
-179	-87	100	100	41.5
-177	-87	100	100	41.5
-175	-87	100	100	41.5
-173	-87	100	100	41.5
-171	-87	100	100	41.5
-169	-87	100	100	41.5
-167	-87	100	100	41.5
-165	-87	100	100	41.5
-163	-87	100	100	41.5
-161	-87	100	100	41.5
-159	-87	100	100	41.5
-157	-87	100	100	41.5
-155	-87	100	100	41.5
-153	-87	100	100	41.5
-151	-87	100	100	41.5
-149	-87	100	100	41.5
-147	-87	100	100	41.5
-145	-87	100	100	41.5
